Name,Party,Votes,Constituency,Region
THABIT Said Saluni,APPT MAENDELEO,51,Kikwajuni,Mjini Magharibi
MASAUNI Hamad Yussuf,CCM,5899,Kikwajuni,Mjini Magharibi
MWALIM Salum Juma,CHADEMA,3891,Kikwajuni,Mjini Magharibi
KOMBO Bakari Kombo,ACT,13,Kwahani,Mjini Magharibi
RAJABU Said Sisemi,ADC,43,Kwahani,Mjini Magharibi
MWINYI Hussein Ali,CCM,6297,Kwahani,Mjini Magharibi
GHANIMA Said Suleiman,CHAUMMA,59,Kwahani,Mjini Magharibi
KHALID Rajabu Mnganah,CUF,2412,Kwahani,Mjini Magharibi
ALI Khamis Abdallah,NRA,34,Kwahani,Mjini Magharibi
SALMA Abdu Ibrahim,UMD,8,Kwahani,Mjini Magharibi
ASHURA Abdalla Ali,UPDP,12,Kwahani,Mjini Magharibi
MBONGO Ali Mohamed Ali,ADA TADEA,21,Magomeni,Mjini Magharibi
AZIZA Khalfan Iddi,ADC,23,Magomeni,Mjini Magharibi
JAMAL Kassim Ali,CCM,5548,Magomeni,Mjini Magharibi
AHMED Khamis Hamad,CUF,3587,Magomeni,Mjini Magharibi
MGENI Hamadi Khamis,MAKINI,11,Magomeni,Mjini Magharibi
MARIAM Saleiman Bakar,UMD,25,Magomeni,Mjini Magharibi
ALAWI Ali Alawi,UPDP,16,Magomeni,Mjini Magharibi
SULEIMAN Simai Maalim,ACT,25,Malindi,Mjini Magharibi
RASHID Said Suleimani,ADA TADEA,17,Malindi,Mjini Magharibi
MOHAMED Suleiman Khamis,APPT MAENDELEO,10,Malindi,Mjini Magharibi
DR. MABODI Abdulla Juma Sadalla,CCM,2274,Malindi,Mjini Magharibi
ALLY Abdullah Ally Saleh,CUF,5711,Malindi,Mjini Magharibi
MAIMUNA Omar Mselem,MAKINI,11,Malindi,Mjini Magharibi
GADAFI Suleiman Mohamed Abdalla,NRA,21,Malindi,Mjini Magharibi
RAHMA Khamis Juma,UMD,8,Malindi,Mjini Magharibi
SALMA Saidi Rajab,UPDP,9,Malindi,Mjini Magharibi
KHAMIS Said Ali,ACT,19,Mpendae,Mjini Magharibi
REHEMA Edward Mwaimu,APPT MAENDELEO,7,Mpendae,Mjini Magharibi
RUKIA Abdi Khamis,CCK,21,Mpendae,Mjini Magharibi
TURKY Salim Hassan Turky,CCM,4352,Mpendae,Mjini Magharibi
OMAR Mohammed Omar,CUF,3606,Mpendae,Mjini Magharibi
ABBAS Shaha Bakar,NRA,63,Mpendae,Mjini Magharibi
SITI Yahya Muhammed,TLP,3,Mpendae,Mjini Magharibi
RAYUU Said Kassim,UMD,19,Mpendae,Mjini Magharibi
OMARI Makame Hamadi,ACT,28,Shaurimoyo,Mjini Magharibi
MATTAR Ali Salum,CCM,5596,Shaurimoyo,Mjini Magharibi
SALMA Muhammed Juma,CHAUMMA,38,Shaurimoyo,Mjini Magharibi
ABDI Seif Hamad,CUF,3756,Shaurimoyo,Mjini Magharibi
SAUMU Khamis Juma,JAHAZI ASILIA,67,Shaurimoyo,Mjini Magharibi
FATMA Said Mohamed,UMD,11,Shaurimoyo,Mjini Magharibi
MARIAM Omar Said,UPDP,32,Shaurimoyo,Mjini Magharibi
SELEMANI Abdallah Msindi,ACT,1979,Morogoro Mjini,Morogoro
MARK Isdory Mhemera,AFP,318,Morogoro Mjini,Morogoro
ABOOD AbdulAziz Mohamed,CCM,99748,Morogoro Mjini,Morogoro
MARCOSSY Albanie Mathew,CHADEMA,49504,Morogoro Mjini,Morogoro
ISMAIL Rashidi Ismail,JAHAZI ASILIA,297,Morogoro Mjini,Morogoro
SHABIBY Ahmed Mabkhut,CCM,422,Gairo,Morogoro
MPANDA Salim Yusuph,CHADEMA,9846,Gairo,Morogoro
FRED L. Mwasakilale,ACT,643,Kilombero,Morogoro
HADIJA Y. Nusura,AFP,220,Kilombero,Morogoro
ASENGA A. Damian,CCM,44092,Kilombero,Morogoro
MTEKETA Abdul Rajab,CUF,1879,Kilombero,Morogoro
NELSON Kepha Mazengo,NCCR-MAGEUZI,125,Kilombero,Morogoro
LONGINO Laurian Lumbanga,ACT,1083,Mlimba,Morogoro
MAGRETI Atanasi Mtenga,AFP,235,Mlimba,Morogoro
KIWANGA Susan Limbweni,CHADEMA,40068,Mlimba,Morogoro
HAJI Ally Mnola,UPDP,127,Mlimba,Morogoro
MBARUKU Hassan Thabiti,ACT,838,Kilosa,Morogoro
BAWAZIR Salim Mbarak,CCM,55703,Kilosa,Morogoro
MSABAHA Rajabu Mohamed,CHADEMA,19632,Kilosa,Morogoro
MLAPAKOLO Abeid Haroub,CUF,5056,Kilosa,Morogoro
HEMED Limamu Hemed,DP,127,Kilosa,Morogoro
ZINDUNA Omary Saidi,UPDP,96,Kilosa,Morogoro
MWAKYAMBO Onesmo Sambo,ACT,1114,Mikumi,Morogoro
NKYA Jonas Estomih,CCM,30425,Mikumi,Morogoro
HAULE Joseph Leonard,CHADEMA,32259,Mikumi,Morogoro
TUMAINI Elisha Matimbwi,UPDP,346,Mikumi,Morogoro
HIDAYA A. Usanga,ACT,1095,Malinyi,Morogoro
DKT. MPONDA H. Hussen,CCM,20870,Malinyi,Morogoro
MBASA A. Benedict,CHADEMA,18815,Malinyi,Morogoro
DR. HONGO Hamimu Said,ACT,1405,Morogoro Kusini,Morogoro
MBENA Prosper Joseph,CCM,36909,Morogoro Kusini,Morogoro
CHANZI Suleiman Zuberi,CHADEMA,11406,Morogoro Kusini,Morogoro
NOGE S. Mwegalawa,TLP,166,Morogoro Kusini,Morogoro
DR. MOLLEL Daudi Ng’inda,ACT,823,Morogoro Kusini Mashariki,Morogoro
MGUMBA Tebweta Omari,CCM,27940,Morogoro Kusini Mashariki,Morogoro
DAVID Joseph Lugakingira,CHADEMA,3925,Morogoro Kusini Mashariki,Morogoro
SALAMA Omary Awadh,CUF,13823,Morogoro Kusini Mashariki,Morogoro
SALAMA Ramadhani Magamba,JAHAZI ASILIA,394,Morogoro Kusini Mashariki,Morogoro
AMIRI Mohamedi Saidi,TLP,75,Morogoro Kusini Mashariki,Morogoro
ATHUMAN Adam Mogela,ACT,1452,Mvomero,Morogoro
MSIGWA Christian John,ADC,730,Mvomero,Morogoro
SULEIMAN Ahmed Saddiq,CCM,67190,Mvomero,Morogoro
OSWARD Herman Mlay,CHADEMA,32797,Mvomero,Morogoro
BEREGE David Francis,DP,427,Mvomero,Morogoro
LUNDENGA Mohamed Ramadhani,UPDP,308,Mvomero,Morogoro
ISAYA Isaya Maputa,ACT,626,Ulanga,Morogoro
MLINGA Goodluck Asaph,CCM,25902,Ulanga,Morogoro
IKONGOLI Pancras Michael,CHADEMA,10592,Ulanga,Morogoro
Mchira Bakari Rashid,ACT,453,Mtwara Mjini,Mtwara
HASNAIN Mohamed Murji,CCM,24291,Mtwara Mjini,Mtwara
JOEL Arthur Nanauka,CHADEMA,4395,Mtwara Mjini,Mtwara
MAFTAHA Abdalah Nachuma,CUF,26815,Mtwara Mjini,Mtwara
ULEDI Hassan Abdallah,NCCR-MAGEUZI,912,Mtwara Mjini,Mtwara
OMARI Peter Timothy,ACT,347,Masasi Mjini,Mtwara
CHUACHUA Mohamed Rashid,CCM,16597,Masasi Mjini,Mtwara
SWALEHE Mustapha Ahmad,CHADEMA,512,Masasi Mjini,Mtwara
KUNDAMBANDA Ismail Issa Makombe,CUF,14069,Masasi Mjini,Mtwara
NGELEJA Abdallah Dadi,CCM,42782,Nanyamba,Mtwara
MKUCHIKA George Huruma,CCM,18817,Newala Mjini,Mtwara
NAKALE Ambrose Nkwabi,CHADEMA,1602,Newala Mjini,Mtwara
MANGUYA Juma Sadick,CUF,18261,Newala Mjini,Mtwara
NGAWEJE Francis Alexander,ACT,285,Lulindi,Mtwara
BWANAUSI Jerome Dismas,CCM,17715,Lulindi,Mtwara
MSHAMU Tomasi Amina,CUF,714,Lulindi,Mtwara
MODESTA Ponera Makaidi,NLD,1638,Lulindi,Mtwara
EDWARD Stephen Jirani,ACT,923,Ndanda,Mtwara
KASEMBE Reuben Mariam,CCM,26215,Ndanda,Mtwara
MWAMBE David Cecil,CHADEMA,26247,Ndanda,Mtwara
ANGELOUS Gabriel Thomas,NLD,441,Ndanda,Mtwara
GHASIA Hawa Abdulrahman,CCM,24258,Mtwara Vijijini,Mtwara
RASHID A. Nandonde,CUF,22615,Mtwara Vijijini,Mtwara
DUA William Nkurua,CCM,36175,Nanyumbu,Mtwara
NYUCHI Mansa Alfred,CHADEMA,8182,Nanyumbu,Mtwara
MAJARIBU Hassan Lupeto,CUF,13067,Nanyumbu,Mtwara
PILLILLA Lawi Sijaona,ACT,443,Newala Vijijini,Mtwara
AKBAR Rashidi Ajali,CCM,26967,Newala Vijijini,Mtwara
RAYSON Mathayo Hassan,CHADEMA,2149,Newala Vijijini,Mtwara
MNEKE Jafar Said,CUF,15444,Newala Vijijini,Mtwara
HAMIS Chibwana Hassan,ADC,968,Tandahimba,Mtwara
LIKUMBO Shaibu Salimu,CCM,41674,Tandahimba,Mtwara
KATANI Ahmad Katani,CUF,55586,Tandahimba,Mtwara
CHACHA Daniel Okong’o,ACT,161,Nyamagana,Mwanza
MABULA Stanslaus Shing’oma,CCM,81017,Nyamagana,Mwanza
WENJE Ezekia Dibogo,CHADEMA,79280,Nyamagana,Mwanza
FAIDA Hassan Potea,CUF,1005,Nyamagana,Mwanza
MOHAMED Juma Msanya,JAHAZI ASILIA,175,Nyamagana,Mwanza
AHMAD Muhamad Mkangwa,NRA,104,Nyamagana,Mwanza
RAMADHANI Uhadi Mtoro,UDP,68,Nyamagana,Mwanza
MKIWA Adam Kimwanga,ACT,3910,Ilemela,Mwanza
ITUTU Haji Shabani,ADC,626,Ilemela,Mwanza
ANGELINE Sylvester Lubala Mabula,CCM,85424,Ilemela,Mwanza
HIGHNESS Samson Kiwia,CHADEMA,61679,Ilemela,Mwanza
GEORGE Massabu Kabambo,CUF,427,Ilemela,Mwanza
CLEMENT Pancras Peter Masonyi,DP,61,Ilemela,Mwanza
KELVIN Francis Mtui,JAHAZI ASILIA,72,Ilemela,Mwanza
BENARD Benedicto Masanja,UDP,48,Ilemela,Mwanza
BOSCO Clemence Rukaiga,UPDP,54,Ilemela,Mwanza
MARCO Lazaro Manyilizu,ACT,4380,Buchosa,Mwanza
TIZEBA Charles John,CCM,59971,Buchosa,Mwanza
KASWAHILI Martin Michael,CHADEMA,35022,Buchosa,Mwanza
MCH. YONAH Mark Kiyuga,ACT,391,Kwimba,Mwanza
MANSOOR Shanif Hirani,CCM,39357,Kwimba,Mwanza
SHILOGELA Babila Nganga,CHADEMA,7338,Kwimba,Mwanza
NTIGA Julius Otto,CUF,4076,Kwimba,Mwanza
ALOYCE Iswalala Isanzu,UDP,94,Kwimba,Mwanza
SHADRACK Boniphas Gwegwe,ADA TADEA,174,Sumve,Mwanza
NDASSA Richard Mganga,CCM,20002,Sumve,Mwanza
NG’HOLO Malimi Lubatula,CHADEMA,6535,Sumve,Mwanza
MCHELE Richard Ntunduru,CUF,14966,Sumve,Mwanza
LUGANGE Andrew Nkumbi,ACT,1126,Magu,Mwanza
KISWAGA Boniventura Destery,CCM,61508,Magu,Mwanza
NGONGOSEKE Julius Kalwinzi,CHADEMA,32217,Magu,Mwanza
LUSHANGA Esau Sospeter,CUF,894,Magu,Mwanza
JANE Deogratus Kajoki,ACT,1965,Misungwi,Mwanza
KITWANGA Charles Muhangwa,CCM,72072,Misungwi,Mwanza
KONDELA Leonidas John,CHADEMA,18050,Misungwi,Mwanza
ZAKARIA Ndongo Lukandikija,ACT,407,Sengerema,Mwanza
NGELEJA William Mganga,CCM,54887,Sengerema,Mwanza
TABASAM Hamis Mwagao,CHADEMA,38591,Sengerema,Mwanza
TUMAINI Munale Kabusinja,NCCR-MAGEUZI,610,Sengerema,Mwanza
FRANCISCO Kimasa Shejamabu,UDP,3926,Sengerema,Mwanza
MACHEMLI Naluyaga Salvatory,ACT,1810,Ukerewe,Mwanza
NYANDIGA Christopher Msafiri,CCM,48591,Ukerewe,Mwanza
MKUNDI Joseph Michael,CHADEMA,52695,Ukerewe,Mwanza
PAUL Majinge Mabagala,NCCR-MAGEUZI,573,Ukerewe,Mwanza
YONA Israel Mwenda,ACT,240,Makambako,Njombe
DEO Kasenyenda Sanga,CCM,24912,Makambako,Njombe
MHEMA Oraph Stanley,CHADEMA,14808,Makambako,Njombe
EMMANUEL Edward Semindu,TLP,192,Makambako,Njombe
MWALONGO Franz Edward,CCM,27285,Njombe Mjini,Njombe
MASONGA Godfrey Emmanuel,CHADEMA,23003,Njombe Mjini,Njombe
WILLIAM Edward Myegetwa,DP,94,Njombe Mjini,Njombe
NGALAWA Deogratias Francis,CCM,23816,Ludewa,Njombe
MSAMBICHAKA Bartholomeo A. Mkinga,CHADEMA,7956,Ludewa,Njombe
JOMA Amos Mwakisutu,ACT,430,Makete,Njombe
NORMAN Adamson Sigalla King,CCM,21611,Makete,Njombe
MBOGELA Jackson Taifa,CHADEMA,15022,Makete,Njombe
HONGOLI Joram Ismael,CCM,20430,Lupembe,Njombe
SWALLE Edwin Enosy,CHADEMA,10407,Lupembe,Njombe
LWENGE Gerson Hosea,CCM,43687,Wanging’Ombe,Njombe
LUHWAGO Dismas Andrea,CHADEMA,13676,Wanging’Ombe,Njombe
MCHANGE Habibu Mchange,ACT,3438,Kibaha Mjini,Pwani
KIBONA Shamim Ally,AFP,108,Kibaha Mjini,Pwani
BERTHA Nkango Mpata,APPT MAENDELEO,120,Kibaha Mjini,Pwani
GOMBATI Ali Waziri,CCK,259,Kibaha Mjini,Pwani
KOKA Silyvestry Francis,CCM,31462,Kibaha Mjini,Pwani
MTALLY Michael Paul,CHADEMA,24860,Kibaha Mjini,Pwani
SAIDI Saidi Athumani,ACT,3318,Bagamoyo,Pwani
KAWAMBWA Shukuru Jumanne,CCM,26434,Bagamoyo,Pwani
KASAMBALA Andrew Eugene,CUF,16330,Bagamoyo,Pwani
MWAMINI Saidi Ngamanji,UMD,418,Bagamoyo,Pwani
SHOO Gasper Aikaeli,ACT,927,Chalinze,Pwani
KIKWETE Ridhiwani Jakaya,CCM,52700,Chalinze,Pwani
TORONGEY Mang’unda Mathayo,CHADEMA,20153,Chalinze,Pwani
ROSE Japhet Mkonyi,ACT,330,Kibaha Vijijini,Pwani
ADVOCATE MUTALEMWA Joseph Bugeza,AFP,156,Kibaha Vijijini,Pwani
SALAMA Juma Hussein,CCK,219,Kibaha Vijijini,Pwani
HAMOUD Abuu Jumaa,CCM,18521,Kibaha Vijijini,Pwani
EDITHA Ernest Babeiya,CHADEMA,4777,Kibaha Vijijini,Pwani
HUSSEIN Ramadhani Chuma,CUF,7709,Kibaha Vijijini,Pwani
SHUKURU Juma Mangare,DP,188,Kibaha Vijijini,Pwani
ABASI Ramadhani Mtego,JAHAZI ASILIA,18,Kibaha Vijijini,Pwani
ZAINA Mussa Bongi,TLP,28,Kibaha Vijijini,Pwani
MWAZANI Mrisho Mkopi,UPDP,35,Kibaha Vijijini,Pwani
MOHAMMED Massaga Massaga,ACT,767,Kisarawe,Pwani
JAFO Selemani Saidi,CCM,28058,Kisarawe,Pwani
KINGWENDU Rashidi Mwishehe Mzange,CUF,8863,Kisarawe,Pwani
ASHA Athumani Chuma,UPDP,364,Kisarawe,Pwani
KIGOMBA Ahamada Said,ACT,236,Mafia,Pwani
DAU Mbaraka Kitwana,CCM,11059,Mafia,Pwani
KIMBAU Omary Ayoub,CUF,9843,Mafia,Pwani
KUNJE Ngombale Mwiru,ACT,2634,Mkuranga,Pwani
ULEGA Abdallah Hamis,CCM,46507,Mkuranga,Pwani
UBUGUYU Ally Athuman,CUF,33833,Mkuranga,Pwani
BURULA Ally Ally,DP,817,Mkuranga,Pwani
LUTH Kitentya Shaban,ACT,389,Kibiti,Pwani
RAYA Suleiman Makungu,AFP,411,Kibiti,Pwani
ALLY Seif Ungando,CCM,21207,Kibiti,Pwani
ABDALLAH Mohamed Ismail,CUF,20485,Kibiti,Pwani
HABIBU Masewele Amiri,ACT,245,Rufiji,Pwani
MCHENGERWA Mohamed Omary,CCM,20344,Rufiji,Pwani
MCHUCHULI Kuruthum Jumanne,CUF,20265,Rufiji,Pwani
EMMANUEL Joachim Msengezi,ACT,1095,Sumbawanga Mjini,Rukwa
AESHI Khalfan Hilaly,CCM,41763,Sumbawanga Mjini,Rukwa
IKUWO Sadrick Malila,CHADEMA,36183,Sumbawanga Mjini,Rukwa
CASSIANO Lucas Kaegele,TLP,1690,Sumbawanga Mjini,Rukwa
SALUM Rashid Timanywa,ACT,874,Kalambo,Rukwa
KANDEGE Josephat Sinkamba,CCM,36582,Kalambo,Rukwa
SICHONE Victor Mateni,CHADEMA,31102,Kalambo,Rukwa
MBWILO Bazilio Kapunda,ACT,648,Nkasi Kaskazini,Rukwa
ALLYMABODI Ally Mohamed Keissy,CCM,23379,Nkasi Kaskazini,Rukwa
KEISSY Salum Sood,CHADEMA,21595,Nkasi Kaskazini,Rukwa
KONGA Vickson Amon,NCCR-MAGEUZI,153,Nkasi Kaskazini,Rukwa
MIPATA John Desderius,CCM,19426,Nkasi Kusini,Rukwa
SOTOKA Alfred Daniel,CHADEMA,16265,Nkasi Kusini,Rukwa
MADARAKA Haroub Khamis,ACT,968,Kwela,Rukwa
MALOCHA Aloyce Ignas,CCM,44333,Kwela,Rukwa
DANIEL Naftal Ngogo,CHADEMA,39615,Kwela,Rukwa
MSABILA Emmanuel Sosthenes,ACT,436,Songea Mjini,Ruvuma
GAMA Leonidas Tutubert,CCM,40886,Songea Mjini,Ruvuma
FUIME Joseph Lusius,CHADEMA,37012,Songea Mjini,Ruvuma
SIXTUS Raphael Mapunda,CCM,28364,Mbinga Mjini,Ruvuma
MARIO Efrem Millinga,NCCR-MAGEUZI,13102,Mbinga Mjini,Ruvuma
BUSARA Loston Kaisari,ACT,162,Madaba,Ruvuma
JOSEPH Kizito Mhagama,CCM,12736,Madaba,Ruvuma
EDSON Oswald Mbogoro,CHADEMA,5649,Madaba,Ruvuma
MSUHA Martin Mtonda,CCM,59269,Mbinga Vijijini,Ruvuma
AKITANDA Edwin Benjamin,CHADEMA,11285,Mbinga Vijijini,Ruvuma
HAROUN Joseph Mpangala,ACT,744,Namtumbo,Ruvuma
EDWINAmandus Ngonyani,CCM,41958,Namtumbo,Ruvuma
NJOVU Henry Kenneth,CHADEMA,7786,Namtumbo,Ruvuma
BONIFASIA Aidan Mapunda,CUF,17647,Namtumbo,Ruvuma
RAYMOND Martin Ndomba,ACT,497,Nyasa,Ruvuma
ENG. MANYANYA Stella Martin,CCM,31548,Nyasa,Ruvuma
NGWATA Cuthbert Saulo,CHADEMA,12653,Nyasa,Ruvuma
MHAGAMA Joakim Jenista,CCM,32057,Peramiho,Ruvuma
MWINGIRA Erasmo Nathan,CHADEMA,11462,Peramiho,Ruvuma
CLAUDIUS Haule Cladius,DP,217,Peramiho,Ruvuma
MOHAMEDI Abdallah Halifa,ACT,856,Tunduru Kaskazini,Ruvuma
ENG. RAMO Matala Makani,CCM,29841,Tunduru Kaskazini,Ruvuma
MANJOLO Dunstan Kambili,CUF,29102,Tunduru Kaskazini,Ruvuma
DAIMU Ally Abdala,ACT,1026,Tunduru Kusini,Ruvuma
MPAKATE Daimu Iddi,CCM,27486,Tunduru Kusini,Ruvuma
SADICK Bakiri Songoni,CUF,16620,Tunduru Kusini,Ruvuma
SHILUNGUSHELA Kaheza Nyangaki,ACT,481,Shinyanga Mjini,Shinyanga
TAMBWE Elisiana George,APPT MAENDELEO,78,Shinyanga Mjini,Shinyanga
MASELE Stephen Julius,CCM,35858,Shinyanga Mjini,Shinyanga
KATAMBI Paschal Patrobas,CHADEMA,31027,Shinyanga Mjini,Shinyanga
BOBSON Shabani Wambura,ACT,616,Kahama Mjini,Shinyanga
KISHIMBA Kibera Jumanne,CCM,48434,Kahama Mjini,Shinyanga
LEMBELI James Daudi,CHADEMA,30756,Kahama Mjini,Shinyanga
KAHEMA Sabo Donald,ACT,6883,Kishapu,Shinyanga
NCHAMBI Suleiman Masoud,CCM,60089,Kishapu,Shinyanga
TUNGU Fred Mpendazoe,CHADEMA,16946,Kishapu,Shinyanga
MICHAEL Kwimanija Suwa,ACT,674,Msalala,Shinyanga
MAIGE Ezekiel Magolyo,CCM,36010,Msalala,Shinyanga
PAUL Ndundi Malaika,CHADEMA,20124,Msalala,Shinyanga
ABEID Khaji Ibeshi,UDP,251,Msalala,Shinyanga
BUDAGA Costantine Joseph,ACT,1226,Solwa,Shinyanga
AHMED Ally Salum,CCM,57962,Solwa,Shinyanga
MSHANDETE Jeremiah Richard,CHADEMA,30648,Solwa,Shinyanga
KISENHA Hangaya Hamrabi,CUF,726,Solwa,Shinyanga
LUBALA Charles Dotto,ACT,606,Ushetu,Shinyanga
KWANDIKWA Elias John,CCM,47840,Ushetu,Shinyanga
ISAYA Simon Bukakiye,CHADEMA,22909,Ushetu,Shinyanga
KITIBU John Emmanuel,NCCR-MAGEUZI,1746,Ushetu,Shinyanga
MASUNGA Joseph Ng’horo,ACT,617,Bariadi,Simiyu
CHENGE Andrew John,CCM,79091,Bariadi,Simiyu
SIMBA Godwin Ngwilimi,CHADEMA,63448,Bariadi,Simiyu
JOSEPH Maris Kilingo,DP,541,Bariadi,Simiyu
CHEYO Isaac Manjoba,UDP,926,Bariadi,Simiyu
DR. CHEGENI Raphael Masunga,CCM,40977,Busega,Simiyu
DAVID William Nicas,CHADEMA,26995,Busega,Simiyu
ZANGI Robert Masunga,UDP,802,Busega,Simiyu
ISACK Shigela Nyasilu,ACT,277,Itilima,Simiyu
NJALU Daudi Silanga,CCM,55763,Itilima,Simiyu
MAGILE Martin Mlunja,CHADEMA,85,Itilima,Simiyu
MAKONDO Martin Kaunda,CUF,28456,Itilima,Simiyu
CHEYO John Momose,UDP,5558,Itilima,Simiyu
TUNGU Benjamin Gasomi,ACT,660,Maswa Magharibi,Simiyu
SHIBUDA John Paul,ADA TADEA,4005,Maswa Magharibi,Simiyu
NDAKI Mashimba Mashauri,CCM,32279,Maswa Magharibi,Simiyu
PATEL Abdallah Popat,CHADEMA,14210,Maswa Magharibi,Simiyu
SAMWEL S. Guya,ACT,309,Maswa Mashariki,Simiyu
PETER Joseph Gibalya,ADA TADEA,710,Maswa Mashariki,Simiyu
NYONGO Stanslaus Haroon,CCM,34864,Maswa Mashariki,Simiyu
KASULUMBAYI Mhoja Sylvester,CHADEMA,19393,Maswa Mashariki,Simiyu
MPINA Luhaga Joelson,CCM,25417,Kisesa,Simiyu
MASANJA William Manani,CHADEMA,22978,Kisesa,Simiyu
KALEKWA Deogratias William,ACT,426,Meatu,Simiyu
JAMBO Khamis Salum,CCM,25461,Meatu,Simiyu
MESHACK Jeremiah Opulukwa,CHADEMA,16380,Meatu,Simiyu
WANDILI Paul Jeremiah,ACT,763,Singida Mjini,Singida
MUSSA Ramadhani Sima,CCM,36690,Singida Mjini,Singida
MSINDAI Mgana Izumbe,CHADEMA,16702,Singida Mjini,Singida
MWANAMVUA Abdallah Haji,CUF,782,Singida Mjini,Singida
JORAM Zakaria Ntandu,ACT,382,Singida Magharibi,Singida
KINGU Elibariki Immanuel,CCM,25102,Singida Magharibi,Singida
MDINKA Marco Allute,CHADEMA,13480,Singida Magharibi,Singida
ATHUMAN Issah Henku,CUF,693,Singida Magharibi,Singida
VEDASTUS Saimon Muna,ACT,241,Singida Mashariki,Singida
NJAU Jonathan Andrew,CCM,18393,Singida Mashariki,Singida
LISSU Tundu Antiphas Mughwai,CHADEMA,24874,Singida Mashariki,Singida
MSAFIRI Patrick Siprian,CUF,85,Singida Mashariki,Singida
MWIGULU Lameck Nchemba Madelu,CCM,55213,Iramba Magharibi,Singida
JESCA David Kishoa,CHADEMA,12957,Iramba Magharibi,Singida
KAPALATU Hassan Salum,ACT,835,Manyoni Magharibi,Singida
MASSARE Yahaya Omary,CCM,22161,Manyoni Magharibi,Singida
LUPAA Donald Madeje,CHADEMA,11883,Manyoni Magharibi,Singida
MOTTEE John Henry,ACT,1228,Manyoni Mashariki,Singida
MTUKA Daniel Edward,CCM,33012,Manyoni Mashariki,Singida
EMMANUEL David Allute,CHADEMA,18281,Manyoni Mashariki,Singida
MCHUNGAJI MOLLO Henry Ramadhan,ACT,558,Iramba Mashariki,Singida
ALLAN Joseph Kiula,CCM,40686,Iramba Mashariki,Singida
OSCAR Alex Kapalale,CHADEMA,16106,Iramba Mashariki,Singida
NEEMA Stephano Mlau,UPDP,209,Iramba Mashariki,Singida
PAUL Isaya Nkungu Mbogho,ACT,350,Singida Kaskazini,Singida
NYALANDU Lazaro Samuel,CCM,44881,Singida Kaskazini,Singida
DJUMBE David Joseph Mghanja,CHADEMA,21548,Singida Kaskazini,Singida
MLEWA Deliphina Patrick,CUF,240,Singida Kaskazini,Singida
MAPALALA Mohamed Kuziwa,ACT,1923,Tabora Mjini,Tabora
ISSA Ramadhan Malengo,ADC,482,Tabora Mjini,Tabora
MWAKASAKA Adamson Emmanuel,CCM,44411,Tabora Mjini,Tabora
MKUFYA Peter Stewart,CUF,35452,Tabora Mjini,Tabora
HARUNA Saidi Magazi,DP,157,Tabora Mjini,Tabora
IDDI Mbaruku Katundu,MAKINI,175,Tabora Mjini,Tabora
ZAMBIA Mustafa Mulenga,UDP,114,Tabora Mjini,Tabora
ABUBAKAR Kamanya Nkumilwa,UMD,128,Tabora Mjini,Tabora
KITWANA Abdallah Abdallah,ACT,180,Nzega Mjini,Tabora
BASHE Mohamed Hussein,CCM,18774,Nzega Mjini,Tabora
CHARLES Makangala Mabula,CHADEMA,9658,Nzega Mjini,Tabora
MEZZA Leonard John,CUF,95,Nzega Mjini,Tabora
ALEX Tito Pancras,ACT,446,Igunga,Tabora
KASSITA Fredrick David,AFP,168,Igunga,Tabora
DR. KAFUMU Dalaly Peter,CCM,32830,Igunga,Tabora
KUBE Ng’wigulu Lugandya,CHADEMA,22221,Igunga,Tabora
MAHONA Leopold Lucas,ACT,519,Manonga,Tabora
KASHASHA Exuper Alfred,AFP,151,Manonga,Tabora
GULAMALI Seif Khamis Said,CCM,31485,Manonga,Tabora
NGUZO Ally Khalfan,CHADEMA,14420,Manonga,Tabora
KIRUNGI Amir Kirungi,ACT,7244,Kaliua,Tabora
SHILINDE Gudrack Jilinga,ADA TADEA,563,Kaliua,Tabora
PROF KAPUYA Juma Athumani,CCM,20399,Kaliua,Tabora
SAKAYA Magdalena Hamis,CUF,21982,Kaliua,Tabora
KAYOKA Godwin Nicholaus,ACT,774,Ulyankuru,Tabora
KADUTU John Peter,CCM,32723,Ulyankuru,Tabora
KITAPONDYA Deus Ngelela,CHADEMA,9432,Ulyankuru,Tabora
MAGUPA Lawi Damalice,CUF,428,Ulyankuru,Tabora
TEDDY Louise Kasella Bantu,ACT,1980,Bukene,Tabora
ZEDI Selemani Jumanne,CCM,30698,Bukene,Tabora
ELIAS Michael Machibya,CHADEMA,13708,Bukene,Tabora
SIMBI Alex Mpigi,CUF,2042,Bukene,Tabora
MBOZU John Patrick,ACT,722,Nzega Vijijini,Tabora
DKT. KIGWANGALLA Hamisi Andrea,CCM,31554,Nzega Vijijini,Tabora
MAJONGO Joseph Kulwa,CHADEMA,10401,Nzega Vijijini,Tabora
KATUGA Khamis Iddi,CUF,663,Nzega Vijijini,Tabora
LUPIA Abraham Augusto,ACT,3246,Sikonge,Tabora
KAKUNDA Joseph George,CCM,31344,Sikonge,Tabora
HIJJA Mohamed Chambala,CHADEMA,18317,Sikonge,Tabora
KATALA Abdallah Ibrahimu,CUF,724,Sikonge,Tabora
DAVID Henry Mwakanga,TLP,78,Sikonge,Tabora
SHUKURU Hemedi Kiyinza,UPDP,143,Sikonge,Tabora
